username, created_at, lng, lat, text
copkiller1999, Tue Jan 26 06:08:14 +0000 2021, -84.433106, 33.767195, Ariel Pink kicked my dog 
WRhincy, Tue Jan 26 06:08:16 +0000 2021, -117.849687, 34.135520, @Dario_Ciriello @DarnayJesse No need! Just chains. We should plan a day trip to Wrightwood.  Just an hour drive, an… https://t.co/HaI3Dk5Hjt 
GabrielaDow, Tue Jan 26 06:08:15 +0000 2021, -117.104989, 32.810012, On east coast calls all morning followed by major deadlines then community group meeting/presentation + keeping up… https://t.co/1WUK3AZKpT 
RevChuckCurrie, Tue Jan 26 06:08:16 +0000 2021, -122.630908, 45.536402, Cold weather in Portland means difficult times for those experiencing homelessness. @211info has a list of donation… https://t.co/WYiTy5U04i 
Alkapone47, Tue Jan 26 06:08:16 +0000 2021, -122.044814, 37.592159, @litapi1 Jodie 🤣🤣🤣🤣🤣 
AtlasBear_Mirza, Tue Jan 26 06:08:16 +0000 2021, -117.104989, 32.810012, @oneheavytitty You mean to tell me a guy with half of a half sleeve and a “tattooed and employed” shit doesn’t know… https://t.co/la35RWHq6K 
caminorandy, Tue Jan 26 06:08:16 +0000 2021, -120.583402, 44.145437, @PaddyHu19157609 @IsaacDovere That is an outright lie 
MaNueLEmy, Tue Jan 26 06:08:16 +0000 2021, -74.000941, 40.236612, @ChrisLandauUSA Saludos desde Deal, NJ 
NoGloveD, Tue Jan 26 06:08:16 +0000 2021, -91.829228, 30.333447, ion even watch basketball but yall niggas be funny asl 😂😂 
dhmontgomery, Tue Jan 26 06:08:16 +0000 2021, -93.262046, 44.970610, @EvanSchultheis 1961 Antietam centenary? Wouldn’t that have been 1962? 
lancegregmason, Tue Jan 26 06:08:16 +0000 2021, -85.768241, 37.822244, @MedusaBaked Because  we're dumb. 
jordancaballero, Tue Jan 26 06:08:16 +0000 2021, -119.306608, 37.269176, @cherylecious 🙏🏼 
noofugazy, Tue Jan 26 06:08:17 +0000 2021, -75.117998, 40.004866, one punch man would really smoke all them humanoids from attack on titan 😭 #AttackOnTitan 
nolimitdajon202, Tue Jan 26 06:08:17 +0000 2021, -77.014398, 38.898603, Add me on Snapchat! Username: nolimitdajon301 https://t.co/TMBKg2UmcZ https://t.co/9GkdVHLQkI 
LifeNLasVegas, Tue Jan 26 06:08:17 +0000 2021, -117.022695, 38.502147, @VitalVegas @LasVegasLocally @jgumalo_62 https://t.co/NlZ03ybUYj 
vnd_r3s, Tue Jan 26 06:08:18 +0000 2021, -118.035289, 34.070871, Goodnight https://t.co/9YI80x2CaP 
livmoods, Tue Jan 26 06:08:18 +0000 2021, -104.976767, 39.534794, @BookitHQ don’t give MikeyOver the satisfaction Bookit. Jesus 
galiotacabron, Tue Jan 26 06:08:18 +0000 2021, -122.330602, 47.614817, @FerMG89405400 8 president Bukele. 
LovelyBlunts, Tue Jan 26 06:08:18 +0000 2021, -117.035027, 32.985291, I disagree with this. I don’t do shit 100% for male attention lmfao tf. 
SDCA010, Tue Jan 26 06:08:18 +0000 2021, -116.918445, 32.760825, @TimNoEgo So I guess he is a wanker. 
beerm3rmaid, Tue Jan 26 06:08:19 +0000 2021, -121.172848, 38.667887, apparently my hair has once again crossed that invisible threshold only strangers can see that makes them say “oh m… https://t.co/wPGK3MtHlR 
janetprz08, Tue Jan 26 06:08:19 +0000 2021, -119.306608, 37.269176, I love my 8th graders! The sass! The drama! The activism! ❤️❤️👏🏽👏🏽 
SuebobMua, Tue Jan 26 06:08:19 +0000 2021, -116.979453, 33.784916, This 
joeykennedy, Tue Jan 26 06:08:19 +0000 2021, -86.793917, 33.542237, @MedusaBaked I don’t question any of your choices. Indeed, I’m motivated by them. 🙏😷 
katsuaz, Tue Jan 26 06:08:19 +0000 2021, -97.135638, 32.701850, I miss you so much @juleslandryy 
maddymaelie, Tue Jan 26 06:08:19 +0000 2021, -97.285913, 32.779967, @mikedarmon My Thoughts Exactly 
G5Living, Tue Jan 26 06:08:19 +0000 2021, -79.272570, 43.629311, Lol had to work the wrist today 
LoudFlavor, Tue Jan 26 06:08:20 +0000 2021, -93.955918, 29.901544, i love this lmao https://t.co/5K4kmLYtBy 
AyeYoD1Flem, Tue Jan 26 06:08:20 +0000 2021, -81.469684, 28.586642, Let me go follow you what’s your IG 
schneider, Tue Jan 26 06:08:20 +0000 2021, -118.411907, 34.020789, @M_Sahli_Wells Can you get them to stop endorsing climate change deniers like @PaulKoretzCD5 ? 
09Mark1, Tue Jan 26 06:08:20 +0000 2021, -71.088712, 42.313670, @SPWTalessia Shines always fighting for trinkets instead of a plan https://t.co/Eqf73Spfy4 
luh_jaycarter, Tue Jan 26 06:08:20 +0000 2021, -85.812235, 33.678802, Leh me put my phone on the charger 
tricks_nonsense, Tue Jan 26 06:08:20 +0000 2021, -104.789327, 38.888519, @Brian_Spann OnlyAnimes 
jimmyjohnneck, Tue Jan 26 06:08:21 +0000 2021, -97.754724, 30.323346, The way I want one of these sooooo bad 
StuffyWings4, Tue Jan 26 06:08:21 +0000 2021, -96.932840, 33.170366, @FatalGlytch @OrganyzedG 😂🥰 
bamatop89, Tue Jan 26 06:08:21 +0000 2021, -84.433106, 33.767195, Jacking before work https://t.co/ofHIUi5199 
veykookie, Tue Jan 26 06:08:21 +0000 2021, -79.272570, 43.629311, adobong pusit/pork and TUYO 
DanielbeastFk, Tue Jan 26 06:08:21 +0000 2021, -106.417430, 31.793368, Not gonna lie i slept all day, skipped the gym, relaxed and had a couple of drinks and honestly it was much needed,… https://t.co/nu72Bo5eAn 
BonsaiAudio, Tue Jan 26 06:08:21 +0000 2021, -119.132102, 46.245556, Bonsais got to take a field trip today. #bonsai #train #bnsf #bonsaitree #art https://t.co/WPdOP7u4AD 
aholmaas, Tue Jan 26 06:08:21 +0000 2021, -93.262046, 44.970610, @JohnLampson Really appreciate the offer! Turns out none of my bands have anything on the books right now so I’m all right for now. 
barnErebel, Tue Jan 26 06:08:21 +0000 2021, -81.958201, 42.163991, @XboxCanada My 360 special edition works better than my 1. Origonal Controllers still still work fine w/360 special edition 
Bandz_Margera, Tue Jan 26 06:08:22 +0000 2021, -90.247824, 38.653771, @Keem_o_Dolla314 Lol First Pic Cruz, Second Pic Zero lol 
Virgini81820714, Tue Jan 26 06:08:22 +0000 2021, -117.851089, 33.842863, @latelateshow @halsey Yeah well still awake and the night sky is gorgeous. 
tashalynndunn, Tue Jan 26 06:08:22 +0000 2021, -85.380540, 39.932606, @LoyaltyComp @K9thegoat23 https://t.co/FQCLFmG39a 
alyssa_claire14, Tue Jan 26 06:08:22 +0000 2021, -92.633835, 32.536900, What other people think about you has nothing to do with you and everything to do with them. 
CioBeats, Tue Jan 26 06:08:22 +0000 2021, -122.272100, 37.802900, Some new west coast vibes for @bgperico •••#westcoast #sowayout #beatstars #newbeats2021 #instrumental… https://t.co/29Iz1oBADs 
